,,,,
,,,,
,,,,
,Код материала,Наименование товара,Ед. изм,Фирма
,00-00000734,Розетка двойная наружная,шт,Губоз бозор
,00-00000735,Автомат 2фазный 100А,шт,Мираброр Груп
,00-00000736,Автомат 3фазный 80А,шт,Master-X
,00-00000737,Автомат 3фазный 40А,шт,Progres Metal
,00-00000738,Дин рейка 1м,шт,TD Monolit Tech МЧЖ
,00-00000739,Лед лампочка 18W,шт,Optima Windows МЧЖ
,00-00000740,Кабель ВВГНГ 4х10мм2,м,ООО Aiga  Trust Investment
,00-00000741,Цемент М500,кг,Гумбаз бозор
,00-00000742,Щкаф пожарный (Стеклянный черный),шт,Камалак стройка
,00-00000743,Огнетушитель ОП-5,шт,Tian Run ИП ООО
,00-00000744,Винтель 50мм (Кран),шт,Inert Sifat
,00-00000745,Рукав 51мм 18м,шт,Нурафшон
,00-00000746,ППИ-Ж 25 (1-рулон 300метр),м,Сергили Хундай дукон
,00-00000747,ППИ-Ж 30,м,сергили 97 1116759
,00-00000748,Крестовина ПВХ 110х110х50х50мм 45г,шт,Хово Центр
,00-00000749,Крестовина ПВХ 110х110х50х45 правый,шт,Навоий
,00-00000750,Крестовина ПВХ 110х110х50х45 левый,шт,DSM Дукон
,00-00000751,Отвод ПВХ 110 выход 50 левый,шт,Хидоятов
,00-00000752,Отвод ПВХ 110 выход 50 правый,шт,ИП ООО Knauf insulation
,00-00000753,Полуотвод 110мм выход 50 левый,шт,Sinoward
,00-00000754,Полуотвод 110мм выход 50 правый,шт,Хово Магазин
,00-00000755,Кнауф Ротбанд (1мешок 25кг),тн,Format torg ООО
,00-00000756,Штекир (Под светка),шт,Мирахмедов М
,00-00000757,Карчер строительный Pollwon PW151-165,шт,Строй город
,00-00000758,Отвод из ппр 25мм,шт,Запчаст бозор
,00-00000759,Переходник из ппр 50х40мм,шт,Амирхон 99 8449191
,00-00000760,"Маяк 0,1мм",шт,DUA премиум ватер
,00-00000761,Жилет,шт,Механик Комил  94 0618484
,00-00000762,Гайка М10,кг,Чукурсой 97 7227810
,00-00000763,"Саморез по металу семичка 1,6мм",кг,Pipeline Plastic
,00-00000764,Профиль 50х25мм 10м,м,Akfix-perafix
,00-00000765,Планка 5м,шт,Blend mix Фахридин 99 0206080
,00-00000766,Хомут лехкий  Металлический хомут 50мм,шт,Бозор Караходжаев
,00-00000767,Заглушка ПВХ 50мм,шт,Цех
,00-00000768,Принтер MF655CDW i-sensys,шт,Куйлик Абдурахим
,00-00000769,Калонка Kisonli ks-12,шт,Урикзор Бозор 77 777 08 00
,00-00000770,Принтер запчаст C9345,шт,Бодомзор учебный центр
,00-00000771,Пчёлка Epa Esp185-7,шт,Сурум хитой склад
,00-00000772,Кабель АВВГ 4х25мм2,м,Собир рахимов
,00-00000773,Выключатель наружный одинарный,шт,Хонабод
,00-00000774,Лед лампа 45W,шт,малика
,00-00000775,Латунный фильтр 15мм,шт,Янгибозор
,00-00000776,Шаровой кран бабочка 15мм,шт,Назаобек тахта бозор
,00-00000777,Житкий фум 25г (Клей резбовых соединения),шт,Куйли Янгиобод
,00-00000778,Адаптер-муфта комбин наружный резба 20х15мм,шт,Чилонзор Хусниддин
,00-00000779,Переходник короткий 50х32мм,шт,Wall Street Inves
,00-00000780,"Леса 2,0х1,10",шт,Consensus ООО
,00-00000781,"Леса 2,0х1,0",шт,RMB Metwood ООО
,00-00000782,Леса паддон,шт,Цех Жомий
,00-00000783,"Парафед 0,305 (7024 ТМЗ 0,50) 3м",м,Братский могила
,00-00000784,"Парафед 0,73 (7024 ТМЗ 0,50) 2,6м",м,Иззатилла
,00-00000785,"Парафед 0,305 (7024 ТМЗ 0,50) 2,6м",м,Concord 302
,00-00000786,Бетон контакт  (1шт 10кг)(Optimum norm),шт,Сима Авто
,00-00000787,Адгезионная добавка для раствора (10литр) Latex (Optimum norm),шт,Lantian Science Technology
,00-00000788,VENTUM FUGA (SVETNOY),шт,Ventum
,00-00000789,Бур для бетон 14х210,шт,Howo центр
,00-00000790,"Гипсокартон Knauf pat 9,5",шт,101 Security centr
,00-00000791,Профиль (ж 3мм 2-2  ),шт,Simma auto star
,00-00000792,Профиль для гипсокартона 60х27мм,шт,Guoli
,00-00000793,Саморез по металу 30мм,кг,Hofmann
,00-00000794,Бачонок 15мм нержавейка,шт,Optima Windows
,00-00000795,Соль технический,кг,Конставар Zontik
,00-00000796,Ноутбук HP Envy 14-es 1023 dx 512gb,шт,Бозор Куйлик
,00-00000798,Ноутбук Acer acpere 5,шт,Келес цех
,00-00000799,Мишка,шт,Навоий мрамир
,00-00000800,Ноутбук HP Lapter NS 05,шт,Нодир
,00-00000801,Бензин а80,литр,Сергили Хундай сервис
,00-00000802,Фрамир,литр,Pay and Stroy
,00-00000803,"Персональный компютер (монитор, процессор, клавиатура+мышка, удлинитель)",шт,Фархадский рынок
,00-00000804,Принтер Canon Image RUNNER 2425i,шт,Металл Кардоз
,00-00000805,Принтер MFP 4103 c/w hp,шт,Достон
,00-00000806,Мастика битумная,литр,Хунарманд
,00-00000807,Наушник для операторов,шт,Канстовар
,00-00000808,Принтер Epson L15150,шт,International paper
,00-00000809,Алкотестер (Alco Easy A65),шт,Куйлик94 0618484
,00-00000810,Принтер MF3010,шт,собир рахимов  94 6090560
,00-00000811,Принтер HP smart TAN580,шт,Олим
,00-00000812,Угол  ( ташки ),шт,Урта осиё
,00-00000813,Принтер MFU Canon i-Sensys MF752 CDW,шт,Абдуллох 33 0756860
,00-00000814,Коврик белый кожа,шт,Метал Центр
,00-00000815,Клавиатура,шт,Хунарманд Акбаров А.А.
,00-00000816,Наклейка клавиатура,шт,Водник чирчик ёкадан
,00-00000818,Моноблок HP PRO One 240 intel CORE15-1335U/8gb DDR4 3200/SSD NVME 512gb 640,шт,Заправкадан
,00-00000819,ЮПС A800 ion ups,шт,"ООО ""O'rta Osiyo Stil"""
,00-00000820,Монитор 27дюм,шт,Урикзор 2бл 225дукон
,00-00000821,Компютерный кейс Hoftech,шт,Дилмурод Башкент
,00-00000822,"Монитор Redmi 23,8 inch (1A23,8)",шт,kia diamond city
,00-00000823,Коротрон (для принтера),шт, KIA DIAMOND CITY МЧЖ
,00-00000824,Моноблок HP 24 640х175х460 с клавиатура и мышкой комплекте (серии номер 8сс41325wc) (8сс4041246),шт,Абдуллох
,00-00000825,Персональный компютер My pro,шт,SHSA Energy
,00-00000826,Переходник ПП 50х40,шт,Наманган
,00-00000827,Автомат 3фазный 120 А,шт,Янгабод
,00-00000828,Молоток резиновый 1000гр,шт,Олимполвон
,00-00000829,Бочка 200л,шт,Токар янгиобод
,00-00000830,Бетон контакт (местный) (1-шт ведро 20кг),кг,Gold meters partner
,00-00000831,Клей для газоблока (местный),кг,Сантехника Сити
,00-00000832,Тогора,шт,Янги обод 99 854 03 59
,00-00000833,"Манометр 0,6 бар",шт,PROFMET
,00-00000834,Американка ппр 20 в-р,шт,Урикзор аккумлятор
,00-00000835,Сетка 1х13 рабица,шт,Малика А5 дукон
,00-00000836,Скамейка темир 3та уриндкили,шт,Premier Santexnika 777 MCHJ
,00-00000837,Трос башенный кран 14мм,метр,Куйлик сомон бозор 99 055 60 09
,00-00000838,Стойка  L-3700,шт,Куйлик 1045 Абдурашид 90 948 52 11
,00-00000840,Уголок 63х5х3000,шт,AMON BOBO Фермер хужалиги
,00-00000841,Паласа 4х40х500,шт,ALI BOBO GRANT
,00-00000842,Щит 1600х800,шт,Сергели бозор 94 972 31 13
,00-00000843,Автомат NM 400А,шт,Хозмаг ЗОХИД 90 013 23 20
,00-00000844,Автомат NM 250А,шт,"ООО ""EVROFERR"""
,00-00000845,Шина алюмин 30х5 заземления,м,CONCORD
,00-00000846,Изолятор SM51,шт,"ООО "" O'RTA OSIYO STIL"""
,00-00000847,Компютер B760M-E MSI DDR5/i5-14400F/16gb DDR5 5200/RTX4060Ti/Hoftech Case/750W  Deepcool/ag400/512gb SSD/27 Redmi 180Hz/keyboard 550/razer mouse/archer T2U Plus/ups ks1500 avtech,комп,АМИР 90 100 22 55
,00-00000848,Пилный диск 250мм,шт,SANTEXNIKA CITY
,00-00000849,Герметик soudafix Р300,шт,SOF MET
,00-00000850,Megamix 25 kg (Клей для газоблока),тн,Сергели бозор Алишер 97 410 49 49
,00-00000851,Кварц кум,кг,Сергели бозор 94 906 96 86
,00-00000852,Пол латта (яхшиси),шт,чукурсой Жамшид 97 745 33 33
,00-00000853,Негроль 5л,шт,"ООО "" RMB METWOOD"""
,00-00000854,Ванючка,шт,GOLD BUSINESS KOMPLEKT
,00-00000855,Адаптер двойная 20мм в/р (ушастик),шт,"ООО ""SOFMET"""
,00-00000856,Аристон крипления,комп,Наманган Иброхим 90 926 55 50
,00-00000857,Трап угловой 100мм (импорт эрон),шт,Абдумурод 77 501 02 80
,00-00000858,Шланг унитаза 70см,шт,Янги обод  97 315 72 32
,00-00000859,Краска аэрозольная цвет серый,шт,Хожиакбар 98 101 55 16
,00-00000860,Счетчик воды (Пульсар) универсальный 15мм,шт,Изза бозор
,00-00000861,Ротбанд 50кг,тн,Илгор Темирчи 90 320 0707
,00-00000862,Эл-Т trio st 300х60 ТО 3мм (Опалубка россия),шт,Келес сех Асрор 97 072 44 43
,00-00000863,Клиновой замок сталь оцинк (опалубка россия),шт,Малика А-5 90 963 82 53
,00-00000864,Замок универсальный оцинк (опалубка россия),шт,Бектопи Бетек 99 805 43 22
,00-00000865,Болт для колонн TRS (опалубка россия),шт,Боходир 97 477 76 64
,00-00000866,Ригель 85MR (опалубка россия),шт,Садуллох 98 771 11 74
,00-00000867,Натяжной крючок ST300 (опалубка россия),шт,Santexnika sity
,00-00000868,"Крановый захват MR 1,5 Т(опалубка россия)",шт,CONCORD
,00-00000869,Кронштейн подмостей ST (опалубка россия),шт,Жомий
,00-00000870,"Тяж DW 35ГС ГК L6,00M T (опалубка россия)",шт,Akfix Perifix
,00-00000871,Зсл гайка 15D=90мм сталь (опалубка россия),шт,DSM AUTO DETAL
,00-00000872,Эл-Т trio st 300х90 ТО 3мм (Опалубка россия),шт,O'rikzor 1-107
,00-00000873,Зсл гайка 15D=130мм сталь (опалубка россия),шт,Цех Кибрайдан
,00-00000874,ЛФ 18х1220х2440 1/1 ЧДВ (опалубка россия) Финский фанер,шт,ТТЗ ЦЕХДАН
,00-00000875,Адаптер подкоса trio MR (опалубка россия),шт,Чао склад
,00-00000876,Распорка Trio Mr 185/117 (опалубка россия),шт,СЕРГИЛИ ЗАФАР 91 996 20 40
,00-00000877,Распорка Trio Mr 300/212 (опалубка россия),шт,METAL CITY
,00-00000878,Пятка RS-2 Trio mr (опалубка россия),шт,VERO STROY MARKET
,00-00000879,Эл-Т trio st 300х120 ТО 3мм (Опалубка россия),шт,Хозмаг Зохид 90 023-23-23
,00-00000880,Эл-Т trio st 300х110 ТО 3мм (Опалубка россия),шт,"YATT "" SOLOVEV DMITRIY ANATOLEVICH"""
,00-00000881,Эл-Т trio st 300х85 ТО 3мм (Опалубка россия),шт,Жоме Бозоридан
,00-00000882,Эл-Т trio st 300х80 ТО 3мм (Опалубка россия),шт,Абдуфттох
,00-00000883,Эл-Т trio st 300х50 ТО 3мм (Опалубка россия),шт,Янгиобод 97 315 72 32
,00-00000884,Эл-Т trio st 300х45 ТО 3мм (Опалубка россия),шт,"СП "" RUNOVA TOSHKENT"""
,00-00000885,Внутр.УГ.TR TE ST 300х30х30 3мм (опалубка россия),шт,Зохид магазин 90 013 23 23
,00-00000886,Тефаль 1л,шт,малика 4-ДОКОН
,00-00000887,Головка насадка 13мм,шт,"ЯТТ ""КАРИМОВ М,М"""
,00-00000888,Анкерный болт М8х80,шт,"ООО ""TEGETA MOTORS Central Asia"""
,00-00000889,Крават для робочый,шт,GOLD BUSINESS KOMPLEKT XUSUSIY KORXONA
,00-00000890,Уголок 63х63х900,п/м,90 915 58 58
,00-00000891,"Полоса 4,0*4,0",мт,LIDER PLAST SANTEY
,00-00000894,Закладной деталь 5х240х160,шт,Хунер вуд груод 98 150 19 76
,00-00000897,Лоток 600х100,м,Янгиобод 99 854 03 59
,00-00000898,Генератор ремен 8РК 1062,шт,107-докон
,00-00000899,Гулхар 6х60,кг,Бегзод 33 528 78 78
,00-00000900,Металл пропка CHUPIK,шт,Stroy premium hous
,00-00000901,Дюбел ок 27мм,шт,FORTUNE PLANETMCHJ
,00-00000902,ПГУ со шлангом (спец тех у-н),шт,HIKMAT RAHMON
,00-00000903,Хундай 300 Зуб (спец тех у-н),комп,ЗОХИД 90 013 23 23
,00-00000904,Экскаватор Милк (спец тех у-н),шт,Орикзор 107-докон
,00-00000905,Палец рессор кора (спец тех у-н),шт,Бухородан
,00-00000906,ПГУ Ф 3000 (спец тех у-н),шт,Хонобод докон 90 317 16 36
,00-00000907,Жидкость (спец тех у-н),шт,"ООО ""RMB METWOOD"""
,00-00000908,Каска строительный белый,шт,2-блок 78-докон
,00-00000909,"Тайрот 0,6",шт,OPTIMA WINDOWS
,00-00000910,Тайрот гайка,шт,Дадахон Эркинов
,00-00000911,Унивилька для опалубки,шт,IBONEW STROY
,00-00000912,Кронштейн подмостей для опалубка,шт,"ООО ""Intermax Petroleum"""
,00-00000913,Подкос для опалубка,шт,Ориент Пластик МЧЖ
,00-00000914,Пятка для подкоса. для опалубка,шт,Nice Partners MCHJ
,00-00000915,Головка для подкоса. для опалубка,шт,ООО PRIMA STONE
,00-00000916,Кварц газоблок 600х300х200,м3,LIDER PLAST SANTEX
,00-00000917,Евро паддон,шт,Орикзор 1-Павилон 107-докон
,00-00000918,Профиль 60х60 6м,м,Озгариш форс докондан
,00-00000919,Поласа лента 30х3  6м Планка,шт,Мебель магазин 777
,00-00000920,Уровен 50см,шт,sami-x
,00-00000921,Заглушка из ппр 40мм,шт,Контирагент хитой
,00-00000922,Тройник из ппр 40мм,шт,Файз бизнес
,00-00000923,Тройник из ппр 40х25,шт,ООО ОМАД ЛЮКС
,00-00000924,Заглушка из ппр 25мм,шт,Сергили Мошина бозор
,00-00000925,Сварочный аппарат Becker ZX7-500B 380v,шт,Хозмаг 90 013 23 23
,00-00000926,Зашитный экран кондиционера Safe 18-24,шт,santexnika city
,00-00000927,Подьездный электрощит 5 стеклянный окон внутренный (6),шт,Металь пардоз
,00-00000928,Подьездный электрощит внутреныый 5,шт,FORSAGE TOOL ASIA MCHJ
,00-00000929,Щит распределительный ЩР,шт,SPARE PARTS TRADING AND SERVICE
,00-00000930,Щит Распределительный ЩВ,шт,O‘RTA OSIYO STIL
,00-00000931,Щит Распределительный ЩН,шт,Alfa Oil Group One
,00-00000932,Щит внутренный 12местный Nilson,шт,(дил ТД Озодлик)
,00-00000933,Щит наружный 12местный Nilson,шт,Хонобод докон 94 436 11 11
,00-00000934,Ремен 22х1800 (дробилька у-н),шт,KERAMZIT SAVDO
,00-00000935,Швеллер 20 (куски),шт,DURABLE STONE CORP OOO
,00-00000936,Шпатель 300,шт,SJS GROP'S
,00-00000937,Молоток 300г,шт,Шербек 90 366 07 87
,00-00000938,Молоток 800г,шт,LIDER PLAST SANTEX
,00-00000939,Уровен 100см,шт,Чорсу бозор 99 675 55 66
,00-00000940,Алмазный диск 150мм Diamond,шт,FORA 90-915 58 58
,00-00000941,Бур для бетон 32х500,шт,Зохид
,00-00000942,Шланг для полива 25мм,метр,Склад БЕНЕФИТ
,00-00000943,Usb hub 4port A-3607 (порт),шт,Хонобод докон
,00-00000944,Маршрутизатор MikroTik RB750Gr 3,шт,Куйлик бозоридан
,00-00000945,Уничтожитель бумаг Deli T022,шт,Good light
,00-00000946,"Катанка 0,8А (Арматура 8 П А400)",кг,Докондан
,00-00000947,Вибратор аппарат CFZ 60,шт,QOSIMOV MIRJALOL
,00-00000948,Диспенсер,шт,LUTFULLA OIL
,00-00000949,Шина нулевая 63А,шт,Кабел Бизнес Маркази
,00-00000950,Хомут У-образный бетоновод для крепления  Puclp-1 Скоба бетоновода с уплотнителем 5,шт,Эдем Ака Полив -Монтаж
,00-00000951,Анкерный болт м20,шт,Жомий бозор
,00-00000952,Хомут У-образный бетоновод для крепления  Puclp-1 Скоба бетоновода с уплотнителем 5 (простой),шт,Чигатой Нодир
,00-00000953,Закладной деталь 18х24,шт,Akfix PeroFix
,00-00000955,Тройник из ПВХ 110х50,шт,04-Filial
,00-00000956,Редуктор давления воды с манометром 15мм,шт,Сергили Бозордан
,00-00000957,ППИ-Ж 40,м,AVESTO YOG'DUSI
,00-00000958,Генератор ремен 6РК 783 (спец тех у-н),шт,Орикзор 107
,00-00000959,Герметика (спец тех у-н),шт,Ибн Синодан
,00-00000960,Штуцер (спец тех у-н),шт,Собир Рахимов 95 876 00 05
,00-00000961,Аккумлятор 6СТ-190 (спец тех у-н),шт,Шерзод Шахбоз И
,00-00000962,Гипс карши,кг,ECOPANEL TECH
,00-00000963,Крестовина ПВХ 110х110х50мм 90г,шт,KONCHI
,00-00000964,Наканечник медный 240мм2,шт,Янги обод 97 315 72 32
,00-00000965,Наканечник медный 70мм2,шт,Хожакбар
,00-00000966,Кабель ПВЗ 1-25мм2,метр,FURQAT ALFAYZ BIZNESS
,00-00000967,Кабель ПВЗ 1-6мм2,метр,З.Раупов
,00-00000968,Кабель ПВЗ 1-4мм2,метр,GRANITE INDUSTRIES TECHNOLOGY
,00-00000969,"Кабель ПВЗ 1-2,5мм2",метр,Сергили туман дустлик-2
,00-00000970,"Кабель ПВЗ 1-1,5мм2",метр,DSM AVTO DETAL
,00-00000971,Щит 1800-1-40,шт,Modern Arch Designe
,00-00000972,Планка,шт,BEKTOP
,00-00000973,Автомат 3фазный 63А,шт,Назарбекдан
,00-00000974,Автомат 3фазный 50А,шт,Ибрагимов Рустам
,00-00000975,Автомат 3фазный 32А,шт,ADN BOLD STEP
,00-00000976,Автомат 3фазный 250А,шт,Куйлик бозор 99 407 00 29
,00-00000977,Автомат 3фазный 400А,шт,Нодира 90 933 44 80
,00-00000978,Пускатель 65-10,шт,Metall service Samarkand
,00-00000979,Пускатель 40-11,шт,Куйлик юсув  94 610 00 77
,00-00000980,Пускатель 32-10,шт,ASTOR TRANSFORMER ENERGY
,00-00000981,Автомат 3фазный 10А,шт,SOLOVEV DMITRIY ANATOLEVICH
,00-00000982,Реле болшой,шт,Баходир
,00-00000983,Реле временного тока,шт,LAGOS
,00-00000984,Тепловой реле 40,шт,UNION VALVE
,00-00000985,Тепловой реле 36,шт,Куйлик бунёд 99 055 60 09
,00-00000986,Тепловой реле 25,шт,LAZER STEEL
,00-00000987,Кнопка пуска,шт,MODERN PRODUCT SHINE
,00-00000988,Кнопка стоп,шт,Аваз 93 229 12 36
,00-00000989,Фильтр из ппр 20мм,шт,ORIGINAL COLORMIX
,00-00000990,Рамка для включателя 2местный,шт,SURXON SENDVICH
,00-00000991,Рамка  3местный,шт,HYDRO MASTER GROUP
,00-00000992,Рамка 4местный,шт,Сергели Мошина бозордан
,00-00000993,Розетка одинарный внутренный,шт,Жамшид 97 272 10 10
,00-00000994,Выключатель внутренный одинарный,шт,Азия Авто дизел 90 317 16 36
,00-00000995,Выключатель внутренный двойная,шт,TEXGAZ SERVIS
,00-00000996,Розетка интернет RJ45,шт,TECHNOGREEN
,00-00000998,Выключатель тройная внутренная,шт,Домбирабод Гавхар
,00-00000999,Труба ПНД 25мм,м,GOM LON
,00-00001000,Гидравлический шланг моюшие для миксера,шт,Кахрамон 98 150 19 76
,00-00001001,Швеллер 22,м,Акром куйлик
,00-00001002,Швеллер 20,м,BeneFit
,00-00001003,Насос Leo BP-EMH8-5/5,шт,EVROFERR
,00-00001004,Врезка для ёмкость 40мм,шт,LAFTONE
,00-00001005,Рекор в/р 50х15  1/2,шт,ANVAR HAVUS
,00-00001006,Фильтр из ппр 25мм,шт,Насибали 99 871 22 32
,00-00001007,Крепления для газоблока,шт,Эшонгузар 33 025 55 88
,00-00001008,Швабра,шт,MUSHTARIY-MUNIS
,00-00001009,Ножница по металу,шт,Абдуллох 33 075 68 60
,00-00001010,Подьездный электрощит в зборе 500х80,шт,Сергили Толкин 90 907 72 00
,00-00001011,Лестничный лоток 500х80,м,"""VCANO TOOLS"" MCHJ"
,00-00001012,Компрессор 2 силиндр 615 уртасида тешиги бор 0352 (спец тех у-н),шт,TURSUNOV DILSHOD
,00-00001013,Блакнот кноставаный,шт,Урикзор  90 027 42 18
,00-00001014,Компрессор рем комплект 2 си Прокладка Клингрит 100ммузи (спец тех у-н),шт,Абдуллох metal city
,00-00001015,Штуцер энерго аккумлятор 22лик шланг 10 (спец тех у-н),шт,PROGRESS GRAND
,00-00001016,Болть кардан 14мм (спец тех у-н),шт,SAMARQAND POLIMER
,00-00001017,"BASALT WOOL FACADE STANDART каменная вата 1200х600х50 (1упаков 3,6 м2)",м3,Сергилидан
,00-00001018,"BASALT WOOL FACADE STANDART каменная вата 1200х600х100 (1 упаков 2,16 м2)",м3,Сурум магазин
,00-00001019,Дубюль СП 155мм (зонтик),шт,ХОЛИКОВ АЗИМ РАХИМОВИЧ
,00-00001020,Дубюль СП 110-см (зонтик),шт,HOR YASH-STROY HOUSE
,00-00001021,Маска медицинской,шт,WATER PRO
,00-00001022,Сварочный аппарат Pollwon PW140-250,шт,TIA BOZOR
,00-00001023,Переходник из ппр 50х25,шт,Ойбек чао 94 573 86 68
,00-00001024,Переходник из ппр 25х20,шт,NAVRUZ INTERNATIONAL CORP
,00-00001025,Заглушка из ппр 50мм,шт,CHANGLONG
,00-00001026,Стол-стуль 6 тали,комп,NISHON GROUP PRODUCT
,00-00001027,Стабилизатор 5000W,шт,BNBM
,00-00001028,Пускатель 25-10,шт,UZTELECOM
,00-00001029,Фото реле 25А,шт,MetalStall 
,00-00001030,Болт контакт,шт,DONGSHENGTAI GAZOBLOCK
,00-00001031,Тепловой реле 32,шт,Хонобод Илхом 99 317 16 36
,00-00001032,Вертикальная ёмкост 5000л,шт,Сергили Билол 93 885 41 88
,00-00001033,Ром АКФА 155х136,шт,ERKINOV OLIMJON MAMAT UG'LI
,00-00001034,Газовый ключ 50мм,шт,Радио детал
,00-00001035,Профиль 80х80 3м,м,Отабек 90 115 19 06
,00-00001036,"Профиль 20х20 1,7м",м,IMYTR
,00-00001037,Бункер для песка 2700мм 1100мм. Опора 2650мм 2700мм,шт,Ойбек Чао
,00-00001038,Комплект Воздушной гидравлики,шт,SONY гарантия
,00-00001039,Вибратор аппарат AREL,шт,понелни Рустам 97 102 93 39
,00-00001040,Бензин,литр,Строп Мастер 99 964 95 55
,00-00001041,Колодка муравейника,шт,MALIKA A5
,00-00001042,Балон 315-80r-225 Шина Doupro. (без зашитник),шт,Жомий бозор 90 901 90 92
,00-00001043,Арматура 18,кг,KLIMAT EKSPERT
,00-00001045,Балон шина 12 OOR Doupro,шт,FAR BEST STEEL TRADE
,00-00001046,Ротбанд (местный),кг,Тумур ака жомий
,00-00001047,Зуб для Экскаватора Volvo-140 (спец тех),комп,Тахта бозор Кахрамон
,00-00001048,Болт 27х300 (спец тех у-н),шт,Сувсоздан 
,00-00001049,Гайка 27х300 (спец тех у-н),шт,Сурумдан
,00-00001050,Болт 22х100 (спец тех у-н),шт,XOLIQOV AZIM RAHIMOVICH
,00-00001051,Гайка 22х100 (спец тех у-н),шт,TEPLO IZOL
,00-00001052,Шайба 22х100 (спец тех у-н),шт,“HYPER WOOD GROUP
,00-00001053,Ризак кора (бру запчаст),шт,MINORINTRADE
,00-00001054,Насадка (фонтан),шт,FARRUX PLATINUM
,00-00001055,Стойка фонтан,шт,SOKH EXPORT
,00-00001056,Американка ппр н/р 50мм,шт,UP
,00-00001057,Американка ппр в/р 50мм,шт,ILG'OR TEMIRCHI
,00-00001058,Смеситель для кухня,шт,BARAKA METALL
,00-00001059,Гильза 240 медный,шт,EURASIAN SUPPLY
,00-00001060,Шайба 5х70х70 26мм (кран у-н),шт,AVTONEED HENGST MANN 98 888 88 95
,00-00001061,Анкер 20х150,шт,Аброр
,00-00001062,Диссепления (спец тех у-н),шт,
,00-00001063,Корзина 906 (спец тех у-н),шт,
,00-00001064,Вжемной (спец тех у-н),шт,
,00-00001065,Лебедка 1тонн (талл) (спец тех у-н),шт,
,00-00001066,Домкрат 10тонн (спец тех у-н),шт,
,00-00001067,Наканечник 477 для миксера (спец тех у-н),шт,
,00-00001068,Шлагбаум автоматический палькой 6м,шт,
,00-00001069,Бур для бетон 16х160,шт,
,00-00001070,Шпатель 160мм,шт,
,00-00001071,Кувальда пластмас узун 5кг,шт,
,00-00001072,Герметик Akfix anker C900 хим анкер,шт,
,00-00001074,Лазерный далнометр 80м,шт,
,00-00001076,Наливной пол 010 Серый (Элерон 25кг),мешок,
,00-00001077,Ведро мусорный,шт,
,00-00001078,Сапарет (Спец Тех),шт,
,00-00001079,Трансмиссионный масло 85-140 (20литр),литр,
,00-00001080,Лотос сижмус L-DAB 150 200L масло,литр,
,00-00001081,Котёл SAMSUNG  (импорт),шт,
,00-00001082,Нигрол 5 л,шт,
,00-00001083,Мрамор,м2,
,00-00001084,Гипсокартон потолочный,шт,
,00-00001085,Анкерный болть м10х120  ANKER BOLT 10/120,шт,
,00-00001086,"Анкер клин 6х60 ANKER KLIN 6/60 (вес одного 10,3 грамм)",шт,
,00-00001087,"Удавка (трос д15 1,5метр)",шт,
,00-00001088,Лопата сопковая LAPATA 900г [12],шт,
,00-00001089,Кувальда   AFIXS KVALDA 1500G [12],шт,
,00-00001090,Крестовина 20х32х20,шт,
,00-00001091,Кран из ппр 40мм,шт,
,00-00001092,Вилка стационарная наружная 32А папка,шт,
,00-00001093,Розетка стационарная наружная 32А мамка,шт,
,00-00001094,Наканечник кабельный медный 120мм,шт,
,00-00001095,Наканечник кабельный медный 16мм,шт,
,00-00001096,Наканечник кабельный медный 10мм,шт,
,00-00001097,"Контейнер 2,5х6х6",шт,
,00-00001098,"Контейнер 2,90х2,50х6",шт,
,00-00001099,Теп реле 935 23-32А (Спец Тех),шт,
,00-00001100,Н3 лизен 24V (спец тех),шт,
,00-00001101,Туманика диют xy25 (Спец тех),шт,
,00-00001102,Туманика диют xy45 (Спец тех),шт,
,00-00001103,Габарит малиш 24v (спец тех),шт,
,00-00001104,Датчик спидометр (спец тех),шт,
,00-00001105,Стоп диют (спец тех),шт,
,00-00001106,Диют доновой (спец тех),шт,
,00-00001107,Сварочный держак,шт,
,00-00001108,Отвертка,шт,
,00-00001109,"Масло унверсаный OIL  ""гидравлический масло "" 20 л",литр,
,00-00001110,Седло 75х25 с латунный вставкой,шт,
,00-00001111,Седло 75х50 с латунный вставкой,шт,
,00-00001112,Стояк для поливной спринклер,шт,
,00-00001113,Форсунка для поливной спринклер,шт,
,00-00001114,Топливной водяной фильтр 11Q8-70010 Fuel water filter (спец тех у-н),шт,
,00-00001115,Топливной  фильтр 11Q7-71010 Fuel filter (спец тех у-н),шт,
,00-00001116,Масло Hyundai 20w-50 200л,литр,
,00-00001117,Кабель КГ 4х16мм2,м,
,00-00001118,Кабель ПВС 4х10мм2,м,
,00-00001119,Кабель ПВС 4х6мм2,м,
,00-00001120,Кабель ПВС 4х4мм2,м,
,00-00001121,Термоусадочная трубка 140мм,м,
,00-00001122,Термоусадочная трубка 100мм,м,
,00-00001123,Термоусадочная трубка 60мм,м,
,00-00001124,Гильза алюминиевая 240мм,шт,
,00-00001125,Гильза алюминиевая 185мм,шт,
,00-00001126,Гильза алюминиевая 120мм,шт,
,00-00001127,Гильза алюминиевая 95мм,шт,
,00-00001128,Гильза алюминиевая 70мм,шт,
,00-00001129,Гильза алюминиевая 25мм,шт,
,00-00001130,Червак болт 10х80 (двойной резьбовой головки шурупа М10),шт,
,00-00001131,Дубюль 10х120 (зонтик),шт,
,00-00001132,Петля дышла для тракторного прицепа (спец Тех),шт,
,00-00001133,Болт Гайка м13 (спец тех),кг,
